,character_id,character_name,num_of_comics,num_of_series,num_of_stories,num_of_events
1123,1011392,She-Hulk (Lyra),23,6,31,3
1056,1011398,Romulus,23,8,23,1
124,1010687,Black Tarantula,23,11,26,1
657,1011148,Kree,23,16,25,1
1273,1009650,Tempest,23,13,26,2
1484,1010841,Zaran,22,5,30,1
1478,1009734,Xorn (Kuan-Yin Xorn),22,11,27,1
288,1009265,Dark Phoenix,22,16,21,1
850,1009460,Mr. Fixit,22,2,36,1
1252,1010695,Surge,22,8,31,1
68,1009740,Arnim Zola,22,9,24,2
447,1011055,Gideon,22,11,24,1
473,1009207,GW Bridge,22,3,21,3
970,1011030,Prodigy,21,7,23,3
890,1010746,Nico Minoru,21,9,20,1
215,1009536,Cecilia Reyes,21,8,24,2
844,1009456,Morph,21,12,23,1
1067,1010969,Sabretooth (Age of Apocalypse),21,7,21,1
652,1010818,Komodo (Melati Kusuma),20,2,24,4
277,1011333,Dakota North,20,6,21,1
271,1011385,Cypher,20,3,27,2
1404,1011011,Vulcan (Gabriel Summers),20,10,17,1
376,1011061,Eternity,20,13,23,1
239,1010823,Cloud 9,20,4,22,4
1343,1010822,Trauma,19,2,25,4
796,1010681,Mercury,19,10,16,2
874,1009547,Natasha Romanoff,19,8,20,1
98,1009179,Beetle (Abner Jenkins),19,11,26,2
789,1011399,Meggan,18,13,19,1
654,1011080,Korg,18,3,17,2
543,1009360,Hydro-Man,18,9,25,1
1017,1009532,Reaper,18,8,21,1
955,1010762,Pip,18,9,17,1
457,1010731,Gorilla Man,18,7,19,2
1297,1011018,The Order,18,3,27,1
1293,1010998,The Initiative,18,2,24,2
265,1009244,Curt Conners,18,8,16,2
91,1009174,Beak,17,5,18,1
826,1010691,Molly Hayes,17,10,15,2
746,1010904,Magus (Adam Warlock),17,9,21,3
554,1009363,Imperial Guard,17,11,19,2
485,1010821,Hardball,17,3,20,5
1227,1009626,Stick,17,7,19,1
730,1009509,Madelyne Pryor,17,8,20,4
1167,1009603,Smasher (Vril Rokk),17,11,10,1
1376,1010350,Valkyrie (Samantha Parrington),17,14,18,1
975,1009505,Proteus,16,10,14,1
216,1010813,Celestials,16,14,18,2
436,1009317,Genesis,16,3,16,1
1200,1010794,Spider-Woman (Mattie Franklin),16,5,16,1
1204,1009616,Spot,16,10,20,2
356,1011060,Ego,16,14,17,1
392,1011233,Fat Cobra,16,6,21,1
550,1010758,Illuminati,16,8,15,1
1325,1011304,Thundra,16,11,20,2
759,1009424,Marauders,16,12,19,2
1318,1010820,Thor Girl,16,3,19,4
427,1010832,Gargoyle,15,5,15,1
1445,1011009,Wind Dancer,15,2,30,1
1483,1009738,Zaladane,15,11,11,1
1393,1010353,Vermin (Edward Whelan),15,6,19,2
1463,1010883,Wrecking Crew,15,10,16,1
387,1009298,Famine,15,3,15,1
1488,1010780,Zemo,15,9,12,1
228,1010754,Chase Stein,15,8,14,1
933,1009488,Ozymandias,15,12,11,1
1260,1009643,Synch,15,10,15,1
107,1011138,Beyonder,15,9,14,2
1319,1010885,Thunderball,14,10,13,1
607,1011105,Jimmy Woo,14,6,17,2
62,1009160,Arclight,14,5,14,3
506,1011371,Henry Peter Gyrich,14,6,15,2
1306,1009661,The Watchers,14,8,15,1
1461,1010737,Wraith,13,7,15,2
487,1009336,Harpoon,13,5,12,3
1330,1011345,Tinkerer,13,9,11,1
1128,1011093,Shi'Ar,13,9,13,1
1164,1010761,Sleepwalker,13,8,13,1
1042,1009544,Risque,13,5,12,1
439,1010749,Gertrude Yorkes,13,5,12,1
993,1011207,Purifiers,13,6,16,2
959,1009501,Post,13,8,11,1
138,1009198,Blizzard,13,8,17,1
125,1009188,Black Tom,13,7,11,1
1410,1009701,War (Abraham Kieros),13,5,13,2
593,1011343,Jamie Braddock,13,6,11,2
1381,1011365,Vanisher (Telford Porter),12,4,13,2
1156,1009598,Skin,12,7,13,1
